Rodada,Duração (s),Energia (kWh),CO2 (g),CO2eq/s (g/s)
1,2.966584795000017,1.3534893803922022e-05,0.0013311297358281232,0.00044870779964613
2,3.2417529189988272,1.588881878150115e-05,0.0015626335495230754,0.0004820335135244281
3,3.230387845998848,1.562456165769264e-05,0.001536644389910756,0.0004756841788561211
4,3.2348699690010108,1.5634042422441346e-05,0.0015375768041622617,0.0004753133260058347
5,3.1957442889997765,1.542668636972923e-05,0.0015171837510901303,0.0004747512985668161
6,3.36739832999956,1.6342637665956158e-05,0.0016072657291714564,0.0004773019321333649
7,3.224197211999126,1.555090777354949e-05,0.0015294006777130454,0.0004743508467848213
8,2.971659249998993,1.3606172719942344e-05,0.0013381398746608898,0.00045030057691215547
9,3.22775947899936,1.5623225178170804e-05,0.0015365129498227425,0.0004760308070721173
10,2.964536177998525,1.3550525724957871e-05,0.0013326671039981567,0.0004495364616861895
Total (TE / TEC / TCO2),31.624890266994043,0.00015078247209786305,0.014829154565880638,
Média (ME),3.1624890266994043,1.5078247209786304e-05,0.0014829154565880638,0.00046840107411879787
