Rodada,Duração (s),Energia (kWh),CO2 (g),CO2eq/s (g/s)
1,3.2015559089995804,1.5488153189428504e-05,0.0015232288898739145,0.0004757776947115354
2,2.970406873000684,1.3597144468623644e-05,0.0013372519642001984,0.0004501915129388709
3,3.186502655998993,1.5435626577428895e-05,0.001518063002636977,0.00047640412280185374
4,3.19243197600008,1.5566576730363465e-05,0.001530941688277786,0.0004795534250336514
5,3.1926485919993866,1.549686100917635e-05,0.0015240852865304757,0.00047737332895006213
6,2.962033073001294,1.3429666639413955e-05,0.0013207808546530835,0.0004459034798402154
7,3.223080020999987,1.553549788052797e-05,0.0015278851455541647,0.00047404505491617483
8,3.3520831109999563,1.6204549494594286e-05,0.001593685033694359,0.0004754312410884553
9,2.957341940000333,1.3429188005213509e-05,0.001320733781936738,0.0004465948844375397
10,3.3518870570005674,1.6331432310124978e-05,0.0016061637048361717,0.00047918192872329225
Total (TE / TEC / TCO2),31.58997120800086,0.00015051469630489553,0.014802819352193868,
Média (ME),3.158997120800086,1.5051469630489552e-05,0.0014802819352193867,0.0004680456673441651
