Rodada,Duração (s),Energia (kWh),CO2 (g),CO2eq/s (g/s)
1,4.070669628999895,2.078997800113888e-05,0.002044652756456007,0.0005022890440161682
2,3.7340830209996057,1.812221374971425e-05,0.0017822834778568972,0.0004773015136068892
3,3.7540902599994297,1.809142877537949e-05,0.001779255837201022,0.0004739512675439222
4,4.093755124000381,2.060202219698728e-05,0.0020261676790293043,0.000494941103621594
5,4.037850046999665,2.171240759384076e-05,0.002135371862039051,0.0005288388219433122
6,4.234867868999572,2.121297314615189e-05,0.002086253482977746,0.0004926372079397589
7,4.077511354000308,2.080482263439124e-05,0.002046112696447109,0.0005018042915906875
8,4.230217689999336,2.101559063973205e-05,0.002066841308236368,0.0004885898220137916
9,4.221627752000131,2.1426171643809424e-05,0.002107221128825369,0.0004991489663736945
10,3.7458363709993137,1.81928397451669e-05,0.0017892294032576745,0.00047765818526139845
Total (TE / TEC / TCO2),40.20050911699764,0.00020197044812631215,0.019863389632326547,
Média (ME),4.020050911699764,2.0197044812631216e-05,0.001986338963232655,0.0004937160223911217
