Rodada,Duração (s),Energia (kWh),CO2 (g),CO2eq/s (g/s)
1,3.99845245799952,1.9204678343351872e-05,0.00188874170571197,0.00047236817882709883
2,4.039772466001523,2.1346355023795462e-05,0.0020993713238802365,0.0005196756355830475
3,4.008361243000763,1.9226193938829848e-05,0.001890857721496038,0.0004717283714879184
4,4.009573725999871,1.9386523288373327e-05,0.00190662579236494,0.0004755183275472713
5,4.046904231998269,2.1013657962507432e-05,0.002066651233296681,0.0005106746082489369
6,4.0160188950012525,1.9406956658738176e-05,0.0019086353734735822,0.0004752555760754176
7,4.042439646998901,2.1690905348071032e-05,0.00213325715917209,0.0005277152772721829
8,4.19609080599912,2.077352745690296e-05,0.0020430348783314926,0.0004868900538116527
9,4.018418989999191,1.9195304878365848e-05,0.0018878198441775245,0.0004697916889393121
10,4.048738272000264,2.1221771467652302e-05,0.002087118780300669,0.0005154985677228119
Total (TE / TEC / TCO2),40.424770734998674,0.00020246587436658825,0.019912113812205225,
Média (ME),4.042477073499867,2.0246587436658825e-05,0.0019912113812205227,0.000492511628551565
